Sale_ID,Manufacturer,Model,Body_Style,Fuel_Type,Transmission,Country_Origin,Price_Segment,Ex_Showroom_Price,Dealer_Location,Customer_Age_Group,Ownership_Type,Booking_Type,Discount_Offered (%),Insurance_Package,Marketing_Channel,Customer_Rating,Delivery_Delay_Days,Financing_Opted,Customer_Region,Date ,Age
SAL00001,Mercedes,GLE,Sedan,Diesel,Automatic,Germany,Mid,1115474,Arunachal Pradesh,26-35,Repeat Buyer,Offline,6.4,Standard,TV Ads,2,3,No,West,21-12-2024,33.0
SAL00002,Citroen,C3 Aircross,Hatchback,Petrol,Manual,France,Mid,1189846,Chhattisgarh,46-60,Corporate,Offline,4.1,Standard,Newspaper,3,3,Yes,Central,06-03-2024,56.0
SAL00003,BYD,Dolphin,SUV,Petrol,Manual,China,Entry,575770,Himachal Pradesh,36-45,First-Time Buyer,Online,4.3,Standard,Online Ads,1,3,Yes,Central,27-07-2024,41.0
SAL00004,Tata,Harrier,MPV,Electric,Manual,India,Entry,532643,Sikkim,26-35,First-Time Buyer,Offline,5.1,Comprehensive,Social Media,1,4,Yes,North,09-04-2024,34.0
SAL00005,Honda,Elevate,Pickup,CNG,Manual,Japan,Premium,2053413,Uttar Pradesh,36-45,Repeat Buyer,Online,5.3,Premium,Dealership Visit,3,2,No,Central,15-09-2024,45.0
SAL00006,Nissan,Terrano,Sedan,Electric,Manual,Japan,Entry,417683,Himachal Pradesh,26-35,First-Time Buyer,Offline,6.0,Comprehensive,TV Ads,2,1,No,Central,07-10-2024,28.0
SAL00007,Audi,Q7,Hatchback,Petrol,Manual,Germany,Mid,1479186,Bihar,36-45,First-Time Buyer,Offline,6.7,Premium,Social Media,4,3,Yes,South,25-09-2024,37.0
SAL00008,MG,Comet EV,Hatchback,Diesel,Automatic,China,Mid,1131842,Goa,46-60,Corporate,Offline,4.1,Comprehensive,Newspaper,2,1,No,East,27-11-2024,55.0
SAL00009,Mahindra,Scorpio-N,Hatchback,CNG,Automatic,India,Premium,2959725,Gujarat,18-25,Repeat Buyer,Online,1.6,Comprehensive,Newspaper,5,1,No,North,15-05-2024,24.0
SAL00010,Skoda,Superb,Hatchback,Electric,Automatic,Germany,Entry,473702,Meghalaya,46-60,Corporate,Offline,6.4,Premium,Dealership Visit,4,0,No,Central,13-11-2024,46.0
SAL00011,Toyota,Glanza,Hatchback,Electric,Manual,Japan,Luxury,9016238,Chhattisgarh,60+,First-Time Buyer,Online,6.3,Comprehensive,Social Media,5,1,No,East,29-07-2024,
SAL00012,MG,Gloster,Sedan,Electric,Automatic,China,Mid,1042288,Himachal Pradesh,18-25,First-Time Buyer,Offline,3.9,Standard,Dealership Visit,3,3,No,North,18-03-2024,22.0
SAL00013,Skoda,Octavia,MPV,Diesel,Manual,Germany,Mid,700594,Uttarakhand,46-60,Corporate,Offline,4.0,Comprehensive,Newspaper,5,0,No,Central,30-03-2024,58.0
SAL00014,Audi,Q7,MPV,Diesel,Manual,Germany,Luxury,9844910,Chhattisgarh,36-45,Repeat Buyer,Online,4.8,Standard,Newspaper,3,3,Yes,West,09-11-2024,45.0
SAL00015,Audi,Q7,MPV,CNG,Automatic,Germany,Mid,747783,Tamil Nadu,60+,First-Time Buyer,Offline,2.3,Standard,Online Ads,5,0,Yes,South,28-01-2024,
SAL00016,Ford,EcoSport,SUV,Petrol,Manual,USA,Mid,705520,Nagaland,46-60,First-Time Buyer,Offline,3.7,Standard,Newspaper,4,2,Yes,North,26-08-2024,51.0
SAL00017,Mercedes,GLE,Pickup,CNG,Manual,Germany,Luxury,6629135,Chhattisgarh,26-35,First-Time Buyer,Offline,8.6,Premium,TV Ads,5,3,No,West,02-12-2024,30.0
SAL00018,Skoda,Rapid,SUV,Petrol,Automatic,Germany,Entry,571535,Gujarat,18-25,Repeat Buyer,Online,5.0,Comprehensive,Online Ads,2,5,Yes,North,04-03-2024,23.0
SAL00019,Kia,EV6,Hatchback,Diesel,Automatic,Korea,Mid,841529,Mizoram,18-25,Repeat Buyer,Online,4.2,Premium,Dealership Visit,3,2,Yes,North,05-02-2024,23.0
SAL00020,Mahindra,Bolero,Pickup,Diesel,Manual,India,Luxury,5618144,Tamil Nadu,46-60,First-Time Buyer,Offline,5.6,Comprehensive,Newspaper,1,1,Yes,South,06-07-2024,53.0
SAL00021,Renault,Captur,Pickup,Petrol,Manual,France,Mid,859666,Jharkhand,46-60,First-Time Buyer,Offline,8.1,Standard,TV Ads,5,5,Yes,West,14-05-2024,58.0
SAL00022,Mercedes,GLE,MPV,Diesel,Automatic,Germany,Luxury,9094862,Sikkim,36-45,Corporate,Online,4.1,Comprehensive,Online Ads,3,1,Yes,Central,24-06-2024,37.0
SAL00023,Skoda,Rapid,MPV,Petrol,Automatic,Germany,Mid,1169380,Jharkhand,26-35,First-Time Buyer,Online,5.4,Standard,TV Ads,1,5,No,East,01-03-2024,32.0
SAL00024,Volkswagen,Taigun,MPV,Petrol,Manual,Germany,Mid,703283,Jammu and Kashmir,36-45,First-Time Buyer,Offline,6.0,Comprehensive,Online Ads,3,3,No,West,13-04-2024,43.0
SAL00025,Citroen,Berlingo,Sedan,Petrol,Automatic,France,Premium,1635278,Assam,18-25,First-Time Buyer,Offline,5.7,Comprehensive,Online Ads,3,0,No,North,14-08-2024,18.0
SAL00026,Jeep,Wrangler,Pickup,Electric,Manual,USA,Premium,1515368,Kerala,36-45,First-Time Buyer,Online,5.5,Comprehensive,Online Ads,1,0,No,West,20-02-2024,45.0
SAL00027,BYD,Han EV,Hatchback,CNG,Manual,China,Premium,1985419,Jharkhand,46-60,First-Time Buyer,Online,4.3,Standard,Dealership Visit,1,2,No,East,22-04-2024,53.0
SAL00028,BMW,M340i,MPV,Petrol,Manual,Germany,Luxury,8527963,Goa,36-45,First-Time Buyer,Offline,7.4,Standard,Online Ads,4,3,Yes,West,22-05-2024,40.0
SAL00029,Renault,Triber,SUV,Diesel,Manual,France,Premium,2952381,Kerala,46-60,First-Time Buyer,Offline,7.1,Comprehensive,Online Ads,5,2,Yes,East,28-10-2024,54.0
SAL00030,Honda,Elevate,MPV,CNG,Manual,Japan,Mid,1391340,Madhya Pradesh,36-45,First-Time Buyer,Offline,7.2,Standard,TV Ads,5,0,Yes,South,31-03-2024,44.0
SAL00031,Tata,Safari,Pickup,Diesel,Manual,India,Mid,1413413,Karnataka,60+,First-Time Buyer,Offline,7.2,Standard,Online Ads,3,1,No,North,17-08-2024,
SAL00032,Renault,Triber,MPV,Diesel,Automatic,France,Mid,701245,Gujarat,26-35,Repeat Buyer,Online,4.6,Standard,Dealership Visit,2,3,Yes,Central,30-05-2024,35.0
SAL00033,MG,ZS EV,Hatchback,Petrol,Automatic,China,Entry,698123,Nagaland,26-35,First-Time Buyer,Online,3.6,Standard,TV Ads,2,2,No,West,24-01-2024,32.0
SAL00034,BYD,Dolphin,MPV,Diesel,Manual,China,Mid,933660,Himachal Pradesh,26-35,First-Time Buyer,Offline,6.1,Standard,Online Ads,3,5,No,South,18-05-2024,32.0
SAL00035,Volkswagen,Polo,MPV,CNG,Automatic,Germany,Entry,460753,Uttarakhand,36-45,Repeat Buyer,Online,8.7,Standard,TV Ads,4,4,Yes,West,15-05-2024,44.0
SAL00036,Maruti,Fronx,Sedan,CNG,Automatic,India,Mid,887067,Rajasthan,26-35,First-Time Buyer,Offline,4.9,Standard,Dealership Visit,1,1,Yes,South,01-04-2024,32.0
SAL00037,Renault,Kiger,MPV,CNG,Automatic,France,Premium,1759056,Bihar,18-25,First-Time Buyer,Offline,2.0,Comprehensive,TV Ads,3,2,No,East,23-08-2024,22.0
SAL00038,Maruti,Ertiga,Hatchback,CNG,Manual,India,Premium,1902670,Kerala,18-25,Corporate,Offline,6.0,Standard,Dealership Visit,5,2,No,South,08-05-2024,22.0
SAL00039,Nissan,Sunny,Pickup,CNG,Manual,Japan,Mid,1436873,Karnataka,36-45,Corporate,Online,6.2,Premium,Newspaper,2,3,Yes,East,10-06-2024,38.0
